deutscher Name;wissenschaftlicher Name;Kategorie;;
Kohlmeise;Parus major;A;;
Beutelmeisen;Familie Remizidae;;;
Beutelmeise;Remiz pendulinus;A;;
Bartmeisen;Familie Panuridae;;;
Bartmeise;Panurus biarmicus;A;;
Lerchen;Familie Alaudidae;;;
Heidelerche;Lullula arborea;A;;
Weißflügellerche;Alauda leucoptera;B;;
Feldlerche;Alauda arvensis;A;;
Haubenlerche;Galerida cristata;A;;
Ohrenlerche;Eremophila alpestris;A;;
Kurzzehenlerche;Calandrella brachydactyla;A;;
Kalanderlerche;Melanocorypha calandra;A;;
Schwarzsteppenlerche;Melanocorypha yeltoniensis;B;;
Stummellerche;Alaudala rufescens;B;;
Schwalben;Familie Hirundinidae;;;
Uferschwalbe;Riparia riparia;A;;
Rauchschwalbe;Hirundo rustica;A;;
Felsenschwalbe;Ptyonoprogne rupestris;A;;
Mehlschwalbe;Delichon urbicum;A;;
Rötelschwalbe;Cecropis daurica;A;;
Buschsänger;Familie Cettiidae;;;
Seidensänger;Cettia cetti;A;;
Schwanzmeisen;Familie Aegithalidae;;;
Schwanzmeise;Aegithalos caudatus;A;;
Laubsänger;Familie Phylloscopidae;;;
Waldlaubsänger;Phylloscopus sibilatrix;A;;
Berglaubsänger;Phylloscopus bonelli;A;;
Tienschan-Laubsänger;Phylloscopus humei;A;;
Gelbbrauen-Laubsänger;Phylloscopus inornatus;A;;
Goldhähnchen-Laubsänger;Phylloscopus proregulus;A;;
Bartlaubsänger;Phylloscopus schwarzi;A;;
Dunkellaubsänger;Phylloscopus fuscatus;A;;
Fitis;Phylloscopus trochilus;A;;
Zilpzalp;Phylloscopus collybita;A;;
Iberienzilpzalp;Phylloscopus ibericus;A;;
Kronenlaubsänger;Phylloscopus coronatus;A;;
Wacholderlaubsänger;Phylloscopus nitidus;A;;
Middendorff-Laubsänger;Phylloscopus plumbeitarsus;A;;
Grünlaubsänger;Phylloscopus trochiloides;A;;
Wanderlaubsänger;Phylloscopus borealis;A;;
Rohrsängerverwandte;Familie Acrocephalidae;;;
Drosselrohrsänger;Acrocephalus arundinaceus;A;;
Mariskenrohrsänger;Acrocephalus melanopogon;A;;
Seggenrohrsänger;Acrocephalus paludicola;A;;
Schilfrohrsänger;Acrocephalus schoenobaenus;A;;
Feldrohrsänger;Acrocephalus agricola;A;;
Buschrohrsänger;Acrocephalus dumetorum;A;;
Teichrohrsänger;Acrocephalus scirpaceus;A;;
Sumpfrohrsänger;Acrocephalus palustris;A;;
Buschspötter;Iduna caligata;A;;
Steppenspötter;Iduna rama;A;;
Blassspötter;Iduna pallida;A;;
Orpheusspötter;Hippolais polyglotta;A;;
Gelbspötter;Hippolais icterina;A;;
Schwirlverwandte;Familie Locustellidae;;;
Streifenschwirl;Helopsaltes certhiola;B;;
Strichelschwirl;Locustella lanceolata;A;;
Feldschwirl;Locustella naevia;A;;
Schlagschwirl;Locustella fluviatilis;A;;
Rohrschwirl;Locustella luscinioides;A;;
Halmsänger;Familie Cisticolidae;;;
Zistensänger;Cisticola juncidis;A;;
Grasmückenverwandte;Familie Sylviidae;;;
Mönchsgrasmücke;Sylvia atricapilla;A;;
Gartengrasmücke;Sylvia borin;A;;
Sperbergrasmücke;Sylvia nisoria;A;;
Klappergrasmücke;Sylvia curruca;A;;
Orpheusgrasmücke;Sylvia hortensis;A;;
Wüstengrasmücke;Sylvia nana;A;;
Dorngrasmücke;Curruca communis;A;;
Provencegrasmücke;Sylvia undata;A;;
Brillengrasmücke;Sylvia conspicillata;A;;
Weißbart-Grasmücke;Sylvia cantillans;A;;
Ligurien-Bartgrasmücke;Sylvia subalpina;A;;
Samtkopf-Grasmücke;Sylvia melanocephala;A;;
Goldhähnchen;Familie Regulidae;;;
Sommergoldhähnchen;Regulus ignicapilla;A;;
Wintergoldhähnchen;Regulus regulus;A;;
Zaunkönige;Familie Troglodytidae;;;
Zaunkönig;Troglodytes troglodytes;A;;
Kleiber;Familie Sittidae;;;
Kleiber;Sitta europaea;A;;
Mauerläufer;Familie Tichodromidae;;;
Mauerläufer;Tichodroma muraria;A;;
Baumläufer;Familie Certhiidae;;;
Waldbaumläufer;Certhia familiaris;A;;
Gartenbaumläufer;Certhia brachydactyla;A;;
Spottdrosseln;Familie Mimidae;;;
Katzenspottdrossel;Dumetella carolinensis;B;;
Starenverwandte;Familie Sturnidae;;;
Rosenstar;Pastor roseus;A;;
Star;Sturnus vulgaris;A;;
Drosseln;Familie Turdidae;;;
Schieferdrossel;Geokichla sibirica;A;;
Erddrossel;Zoothera aurea;A;;
Grauwangen-Musendrossel;Catharus minimus;B;;
Zwergmusendrossel;Catharus ustulatus;A;;
Einsiedler-Musendrossel;Catharus guttatus;B;;
Einfarbdrossel;Turdus unicolor;B;;
Ringdrossel;Turdus torquatus;A;;
Amsel;Turdus merula;A;;
Weißbrauendrossel;Turdus obscurus;A;;
Schwarzkehldrossel;Turdus atrogularis;A;;
Rotkehldrossel;Turdus ruficollis;A;;
Rostschwanzdrossel;Turdus naumanni;A;;
Rostflügeldrossel;Turdus eunomus;A;;
Wacholderdrossel;Turdus pilaris;A;;
Rotdrossel;Turdus iliacus;A;;
Singdrossel;Turdus philomelos;A;;
Misteldrossel;Turdus viscivorus;A;;
Wanderdrossel;Turdus migratorius;A;;
Schnäpperverwandte;Familie Muscicapidae;;;
Heckensänger;Cercotrichas galactotes;A;;
Grauschnäpper;Muscicapa striata;A;;
Rotkehlchen;Erithacus rubecula;A;;
Blaukehlchen;Luscinia svecica;A;;
Sprosser;Luscinia luscinia;A;;
Nachtigall;Luscinia megarhynchos;A;;
Rubinkehlchen;Calliope calliope;A;;
Blauschwanz;Tarsiger cyanurus;A;;
Trauerschnäpper;Ficedula hypoleuca;A;;
Halsbandschnäpper;Ficedula albicollis;A;;
Zwergschnäpper;Ficedula parva;A;;
Hausrotschwanz;Phoenicurus ochruros;A;;
Gartenrotschwanz;Phoenicurus phoenicurus;A;;
Steinrötel;Monticola saxatilis;A;;
Blaumerle;Monticola solitarius;A;;
Braunkehlchen;Saxicola rubetra;A;;
Schwarzkehlchen;Saxicola rubicola;A;;
Pallasschwarzkehlchen;Saxicola maurus;A;;
Steinschmätzer;Oenanthe oenanthe;A;;
Isabellsteinschmätzer;Oenanthe isabellina;A;;
Wüstensteinschmätzer;Oenanthe deserti;A;;
Mittelmeer-Steinschmätzer*;Oenanthe hispanica;A;;
Zypernsteinschmätzer;Oenanthe cypriaca;B;;
Nonnensteinschmätzer;Oenanthe pleschanka;A;;
Wasseramseln;Familie Cinclidae;;;
Wasseramsel;Cinclus cinclus;A;;
Sperlinge;Familie Passeridae;;;
Haussperling;Passer domesticus;A;;
Feldsperling;Passer montanus;A;;
Steinsperling;Petronia petronia;B;;
Schneesperling;Montifringilla nivalis;A;;
Braunellen;Familie Prunellidae;;;
Alpenbraunelle;Prunella collaris;A;;
Bergbraunelle;Prunella montanella;A;;
Schwarzkehlbraunelle;Prunella atrogularis;A;;
Heckenbraunelle;Prunella modularis;A;;
Stelzenverwandte;Familie Motacillidae;;;
Schafstelze;Motacilla flava;A;;
Zitronenstelze;Motacilla citreola;A;;
Gebirgsstelze;Motacilla cinerea;A;;
Bachstelze;Motacilla alba;A;;
Spornpieper;Anthus richardi;A;;
Steppenpieper;Anthus godlewskii;A;;
Brachpieper;Anthus campestris;A;;
Wiesenpieper;Anthus pratensis;A;;
Baumpieper;Anthus trivialis;A;;
Waldpieper;Anthus hodgsoni;A;;
Petschorapieper;Anthus gustavi;A;;
Rotkehlpieper;Anthus cervinus;A;;
Pazifikpieper;Anthus rubescens;A;;
Bergpieper;Anthus spinoletta;A;;
Strandpieper;Anthus petrosus;A;;
Finkenverwandte;Familie Fringillidae;;;
Buchfink;Fringilla coelebs;A;;
Bergfink;Fringilla montifringilla;A;;
Kernbeißer;Coccothraustes coccothraustes;A;;
Hakengimpel;Pinicola enucleator;A;;
Gimpel;Pyrrhula pyrrhula;A;;
Wüstengimpel;Bucanetes githagineus;A;;
Karmingimpel;Carpodacus erythrinus;A;;
Grünfink;Chloris chloris;A;;
Berghänfling;Linaria flavirostris;A;;
Bluthänfling;Linaria cannabina;A;;
Taigabirkenzeisig;Acanthis flammea;A;;
Alpenbirkenzeisig;Acanthis cabaret;A;;
Polarbirkenzeisig;Acanthis hornemanni;A;;
Kiefernkreuzschnabel;Loxia pytyopsittacus;A;;
Fichtenkreuzschnabel;Loxia curvirostra;A;;
